"","date","util"
"140",2015-11-02 06:23:00,1.628
"141",2015-11-02 04:13:00,3.576
"142",2015-10-29 04:53:00,2.502
"143",2015-11-01 00:13:00,39.966
"144",2015-10-29 18:28:00,5.384
"145",2015-11-02 17:13:00,3.882
"146",2015-11-02 15:43:00,2.158
"147",2015-10-30 05:28:00,1.576
"148",2015-11-02 18:38:00,3.854
"149",2015-10-30 13:38:00,1.434
"150",2015-11-01 18:23:00,7.026
"151",2015-10-29 18:03:00,4.796
"152",2015-11-02 07:58:00,0.924
"153",2015-10-30 16:33:00,4.882
"154",2015-11-01 09:03:00,1.06
"155",2015-10-29 20:03:00,8.442
"156",2015-10-30 05:43:00,1.872
"157",2015-10-31 22:53:00,43.816
"158",2015-10-31 10:23:00,1.042
"159",2015-11-02 00:28:00,19.56
"160",2015-10-31 22:13:00,41.634
"161",2015-11-02 10:33:00,0.872
"162",2015-11-01 11:48:00,1.186
"163",2015-10-30 04:43:00,2.734
"164",2015-10-29 11:53:00,1.134
"165",2015-11-01 14:28:00,1.666
"166",2015-11-01 08:23:00,1.294
"167",2015-10-28 23:43:00,14.252
"168",2015-10-30 01:53:00,8.534
"169",2015-10-31 05:38:00,3.05
"170",2015-10-29 05:18:00,2.084
"171",2015-10-29 08:38:00,1.09
"172",2015-10-30 17:03:00,3.624
"173",2015-11-01 05:18:00,3.974
"174",2015-10-31 06:33:00,1.674
"175",2015-10-30 07:58:00,1.032
"176",2015-11-01 00:53:00,28
"177",2015-11-01 08:33:00,1.198
"178",2015-10-31 15:23:00,3.774
"179",2015-11-01 13:13:00,1.216
"180",2015-10-30 17:13:00,4.746
"181",2015-10-31 07:43:00,0.926
"182",2015-11-01 23:08:00,28.292
"183",2015-11-01 22:33:00,20.24
"184",2015-10-29 07:08:00,1.034
"185",2015-11-02 22:28:00,10.658
"186",2015-10-29 16:13:00,4.584
"187",2015-10-31 03:13:00,7.096
"188",2015-10-29 11:33:00,0.9
"189",2015-10-31 16:43:00,5.31
"190",2015-10-29 19:38:00,6.75
"191",2015-11-02 11:53:00,0.85
"192",2015-11-02 05:38:00,2.092
"193",2015-11-02 20:18:00,4.808
"194",2015-10-30 12:38:00,1.116
"195",2015-11-01 20:53:00,10.918
"196",2015-11-01 21:53:00,19.99
"197",2015-10-31 08:28:00,1.112
"198",2015-10-29 11:03:00,1.076
"199",2015-10-29 09:23:00,1
"200",2015-10-31 12:18:00,1.22
"201",2015-11-01 21:08:00,16.87
"202",2015-11-02 03:23:00,5.316
"203",2015-11-01 17:53:00,6.524
"204",2015-10-30 00:53:00,13.622
"205",2015-10-30 23:03:00,45.526
"206",2015-11-01 01:28:00,22.308
"207",2015-10-29 18:38:00,5.152
"208",2015-11-01 17:13:00,4.078
"209",2015-10-31 22:08:00,45.616
"210",2015-10-31 16:18:00,4.54
"211",2015-11-01 20:43:00,11.108
"212",2015-11-02 07:53:00,1.008
"213",2015-11-01 18:33:00,8.194
"214",2015-10-29 20:08:00,7.308
"215",2015-11-01 06:43:00,2.51
"216",2015-10-30 08:18:00,1.068
"217",2015-10-29 06:53:00,1.206
"218",2015-11-01 20:23:00,12.318
"219",2015-11-02 15:38:00,2.072
"220",2015-10-29 20:28:00,8.376
"221",2015-10-30 15:53:00,4.334
"222",2015-11-01 05:38:00,3.308
"223",2015-10-31 15:58:00,4.832
"224",2015-10-31 20:08:00,23.016
"225",2015-10-31 16:13:00,4.192
"226",2015-10-31 12:13:00,1.166
"227",2015-10-30 06:38:00,1.148
"228",2015-10-31 05:48:00,2.64
"229",2015-10-31 02:38:00,10.116
"230",2015-10-31 03:28:00,6.988
"231",2015-11-01 15:13:00,2.25
"232",2015-10-30 03:13:00,4.464
"233",2015-10-29 11:48:00,0.99
"234",2015-10-30 03:53:00,3.25
"235",2015-10-29 19:48:00,7.17
"236",2015-10-30 21:33:00,21.152
"237",2015-10-31 10:33:00,0.96
"238",2015-10-30 20:03:00,8.532
"239",2015-10-31 14:13:00,1.724
"240",2015-10-31 14:23:00,2.016
"241",2015-10-31 11:28:00,0.868
"242",2015-10-30 03:38:00,4.318
"243",2015-10-31 09:03:00,1.144
"244",2015-11-02 07:33:00,1.066
"245",2015-11-01 20:33:00,13.126
"246",2015-11-02 04:48:00,2.514
"247",2015-10-31 08:33:00,1.022
"248",2015-10-29 10:33:00,0.976
"249",2015-11-02 19:33:00,3.142
"250",2015-10-31 19:33:00,16.582
"251",2015-10-30 01:18:00,13.946
"252",2015-10-31 11:53:00,1.058
"253",2015-10-29 19:23:00,5.634
"254",2015-10-30 22:48:00,46.942
"255",2015-11-01 09:43:00,1.048
"256",2015-11-01 17:33:00,6.392
"257",2015-10-30 03:23:00,3.858
"258",2015-10-29 20:23:00,9.892
"259",2015-11-01 14:13:00,1.426
"260",2015-10-29 12:38:00,1.692
"261",2015-10-29 09:18:00,0.994
"262",2015-10-30 01:43:00,9.15
"263",2015-10-30 04:53:00,2.022
"264",2015-10-30 06:03:00,1.536
"265",2015-11-01 01:38:00,20.208
"266",2015-11-01 22:48:00,25.034
"267",2015-11-02 12:08:00,0.924
"268",2015-10-29 23:13:00,22.428
"269",2015-10-31 17:58:00,9.658
"270",2015-10-31 03:18:00,6.768
"271",2015-10-30 00:18:00,17.656
"272",2015-10-29 06:08:00,1.466
"273",2015-11-02 00:18:00,19.432
"274",2015-10-31 20:58:00,31.998
"275",2015-10-30 15:58:00,5.306
"276",2015-10-29 04:23:00,2.652
"277",2015-11-02 17:03:00,2.726
"278",2015-10-31 16:53:00,5.732
"279",2015-11-01 17:43:00,5.45
"280",2015-10-29 14:48:00,2.332
"281",2015-11-01 16:23:00,4.01
"282",2015-10-31 14:03:00,1.918
"283",2015-11-02 13:33:00,1.06
"284",2015-10-30 02:58:00,5.282
"285",2015-11-01 20:58:00,12.526
"286",2015-10-30 11:38:00,0.97
"287",2015-10-29 07:28:00,1.1
"288",2015-10-31 17:53:00,7.608
"289",2015-10-30 09:08:00,1.042
"290",2015-11-02 13:03:00,1.082
"291",2015-10-30 23:13:00,47.766
"292",2015-11-01 22:58:00,20.556
"293",2015-10-29 16:48:00,4.126
"294",2015-10-30 13:03:00,1.748
"295",2015-10-31 23:03:00,45.8
"296",2015-10-30 01:33:00,10.224
"297",2015-10-30 05:18:00,1.852
"298",2015-10-31 07:13:00,1.324
"299",2015-10-31 00:43:00,33.792
"300",2015-10-31 21:48:00,34.308
"301",2015-11-02 14:33:00,1.266
"302",2015-10-30 17:48:00,4.868
"303",2015-10-29 22:38:00,18.142
"304",2015-10-31 13:48:00,1.96
"305",2015-11-01 01:03:00,21.568
"306",2015-10-30 09:53:00,0.968
"307",2015-10-31 13:53:00,1.702
"308",2015-10-29 21:23:00,16.058
"309",2015-10-31 02:13:00,12.336
"310",2015-10-30 14:58:00,2.758
"311",2015-11-02 23:03:00,10.468
"312",2015-10-30 03:58:00,3.342
"313",2015-10-30 13:13:00,1.418
"314",2015-11-01 06:53:00,1.876
"315",2015-10-31 13:43:00,1.568
"316",2015-10-29 21:03:00,13.95
"317",2015-10-31 21:18:00,31.39
"318",2015-10-29 22:28:00,17.618
"319",2015-10-31 17:48:00,7.044
"320",2015-11-02 16:03:00,2.348
"321",2015-10-31 00:38:00,36.006
"322",2015-10-30 20:38:00,14.984
"323",2015-10-30 04:13:00,2.75
"324",2015-11-01 21:23:00,16.06
"325",2015-11-01 03:38:00,7.478
"326",2015-10-31 11:33:00,1.076
"327",2015-10-31 17:13:00,7.624
"328",2015-10-29 13:53:00,1.708
"329",2015-10-30 05:23:00,1.626
"330",2015-11-01 17:03:00,6.008
"331",2015-10-31 10:13:00,0.986
"332",2015-10-29 11:08:00,1.258
"333",2015-10-30 12:43:00,1.292
"334",2015-10-30 13:33:00,1.698
"335",2015-10-30 18:33:00,6.442
"336",2015-11-01 09:48:00,0.916
"337",2015-10-30 04:18:00,2.874
"338",2015-10-29 16:38:00,4.406
"339",2015-11-01 02:43:00,12.064
"340",2015-11-02 03:38:00,4.342
"341",2015-11-02 09:48:00,0.882
"342",2015-11-02 16:48:00,2.574
"343",2015-11-01 08:13:00,1.218
"344",2015-10-31 09:33:00,0.858
"345",2015-10-31 03:03:00,9.09
"346",2015-11-01 09:53:00,1.316
"347",2015-10-31 09:13:00,0.986
"348",2015-10-29 06:03:00,1.542
"349",2015-10-30 20:33:00,13.458
"350",2015-10-30 14:08:00,2.734
